,date,airport_code,airport_name,latitude,longitude,wind_speed
73,2013-04-01,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,2.3
74,2013-04-02,CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,5.0
75,2013-04-09,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,3.1
76,2013-04-16,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,5.2
77,2013-04-17,BGR,Bangor International Airport,44.80739974975586,-68.8281021118164,5.3
78,2013-04-18,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,4.2
79,2013-04-21,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,5.0
80,2013-04-23,AUS,Austin Bergstrom International Airport,30.197535,-97.662015,5.2
81,2013-03-06,GRR,Gerald R. Ford International Airport,42.88079834,-85.52279663,4.3
82,2013-01-03,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,1.6
83,2013-01-03,STL,St Louis Lambert International Airport,38.748697,-90.370003,3.3
84,2013-01-06,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,5.3
85,2013-01-11,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,5.7
86,2013-01-13,MCI,Kansas City International Airport,39.2976,-94.713898,4.0
87,2013-01-15,BOS,Logan International Airport,42.3643,-71.005203,2.9
88,2013-01-17,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,3.3
89,2013-01-23,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,2.1
90,2013-01-24,PVD,Theodore Francis Green State Airport,41.732601,-71.420403,5.5
91,2013-01-25,MYR,Myrtle Beach International Airport,33.6796989441,-78.9282989502,4.3
92,2013-01-25,MCI,Kansas City International Airport,39.2976,-94.713898,2.5
93,2013-01-28,CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,5.7
94,2013-01-29,MYR,Myrtle Beach International Airport,33.6796989441,-78.9282989502,3.6
95,2013-02-01,LAX,Los Angeles International Airport,33.942501,-118.407997,2.0
96,2013-10-03,ROC,Greater Rochester International Airport,43.1189,-77.672401,1.7
97,2013-10-04,OMA,Eppley Airfield,41.3032,-95.894096,6.7
98,2013-10-09,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,2.2
99,2013-10-09,SLC,Salt Lake City International Airport,40.785749,-111.979746,2.4
100,2013-10-12,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,3.1
101,2013-10-13,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,3.0
102,2013-10-22,CHS,Charleston International Airport,32.898602,-80.040497,1.3
103,2013-10-23,DSM,Des Moines International Airport,41.534,-93.663101,2.9
104,2013-10-28,DEN,Denver International Airport,39.861698150635,-104.672996521,3.5
105,2013-10-29,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,4.3
106,2013-10-30,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,3.8
107,2013-10-31,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,3.0
108,2013-11-01,CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,6.1
109,2013-11-03,SAN,San Diego International Airport,32.7336006165,-117.190002441,2.4
110,2013-11-04,BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,2.9
111,2013-11-04,RIC,Richmond International Airport,37.50519943237305,-77.3197021484375,3.2
112,2013-11-15,SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736,2.9
113,2013-11-20,IND,Indianapolis International Airport,39.7173,-86.294403,4.2
114,2013-11-22,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,4.8
115,2013-11-23,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,5.4
116,2013-11-24,MSN,Dane County Regional Truax Field,43.1399,-89.337502,3.5
117,2013-11-25,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.6
118,2013-11-29,BOS,Logan International Airport,42.3643,-71.005203,4.3
119,2013-12-03,MDW,Chicago Midway International Airport,41.785999,-87.752403,3.5
120,2013-12-03,GRR,Gerald R. Ford International Airport,42.88079834,-85.52279663,4.8
121,2013-12-03,TUL,Tulsa International Airport,36.19839859008789,-95.88809967041016,3.4
122,2013-12-04,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,2.7
123,2013-12-05,MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,1.4
124,2013-12-06,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,3.0
125,2013-12-07,IND,Indianapolis International Airport,39.7173,-86.294403,3.2
126,2013-12-11,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.1
127,2013-12-17,LAX,Los Angeles International Airport,33.942501,-118.407997,2.1
128,2013-12-18,DEN,Denver International Airport,39.861698150635,-104.672996521,3.7
129,2013-12-20,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,4.3
130,2013-12-24,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,2.7
131,2013-12-25,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,4.7
132,2013-12-31,EYW,Key West International Airport,24.556101,-81.759598,5.3
133,2013-02-01,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,7.3
134,2013-02-04,AUS,Austin Bergstrom International Airport,30.197535,-97.662015,3.2
135,2013-02-06,CRW,Yeager Airport,38.37310028076172,-81.59320068359375,2.0
136,2013-02-08,SLC,Salt Lake City International Airport,40.785749,-111.979746,2.3
137,2013-02-12,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,4.2
138,2013-02-16,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,2.8
139,2013-02-18,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,5.0
140,2013-02-19,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,9.1
141,2013-02-21,MEM,Memphis International Airport,35.04240036010742,-89.97669982910156,4.5
142,2013-02-22,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,2.6
143,2013-02-27,GRR,Gerald R. Ford International Airport,42.88079834,-85.52279663,3.3
144,2013-02-28,BDL,Bradley International Airport,41.9388999939,-72.68319702149999,1.3
145,2013-03-01,ALB,Albany International Airport,42.74829864501953,-73.80169677734375,3.5
146,2013-03-06,IND,Indianapolis International Airport,39.7173,-86.294403,6.6
147,2013-03-07,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,3.3
148,2013-03-09,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,3.4
149,2013-03-09,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,2.4
150,2013-03-11,IAD,Washington Dulles International Airport,38.9445,-77.455803,4.4
151,2013-03-15,SFO,San Francisco International Airport,37.61899948120117,-122.375,4.8
152,2013-03-16,PSP,Palm Springs International Airport,33.8297,-116.507004,3.9
153,2013-03-17,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,3.3
154,2013-03-21,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,3.3
