date,airport_code,airport_name,latitude,longitude,wind_speed
2013-12-04,CHS,Charleston International Airport,32.898602,-80.040497,2.3
2013-04-04,PDX,Portland International Airport,45.58869934,-122.5979996,3.2
2013-11-16,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,5.8
2013-10-25,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,3.5
2013-10-11,ORF,Norfolk International Airport,36.89459991455078,-76.20120239257812,2.4
2013-10-27,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,2.0
2013-12-18,GSO,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,2.8
2013-11-08,OKC,Will Rogers World Airport,35.39310073852539,-97.60070037841797,7.6
2013-03-31,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,5.9
2013-10-29,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,3.0
2013-11-10,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,4.3
2013-03-27,JFK,John F Kennedy International Airport,40.639801,-73.7789,6.4
2013-09-12,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.6
2013-02-16,SFO,San Francisco International Airport,37.61899948120117,-122.375,3.5
2013-07-06,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,4.2
2013-08-18,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,5.6
2013-02-06,DSM,Des Moines International Airport,41.534,-93.663101,4.0
2013-04-19,STL,St Louis Lambert International Airport,38.748697,-90.370003,8.1
2013-10-29,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,4.3
2013-11-28,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,3.9
2013-04-01,DEN,Denver International Airport,39.861698150635,-104.672996521,4.0
2013-10-28,BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,1.6
2013-11-14,STL,St Louis Lambert International Airport,38.748697,-90.370003,4.3
2013-02-12,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,3.8
2013-12-30,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,2.0
2013-11-14,BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,2.5
2013-04-19,CHS,Charleston International Airport,32.898602,-80.040497,6.1
2013-01-09,LAS,McCarran International Airport,36.08010101,-115.1520004,2.4
